playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
account.f49194f42a5b47fbacda38b61d682581,0,0,0,0,byplayer,0,0,98,0,0,0,0,0,0,0,0,B00G13M4N,0,0,0,0,0,0,114.543,0,27.9527054,0,49,0,0
account.0b21205ffa3b41aeb75f6ffc282703be,0,0,0,66.1700058,byplayer,1,0,22,0,0,2,2,0,0,37.4483871,0,Chirry,0,0,0,0,0,0,791.795,0,772.064148,2,36,0,0
account.3d014b6679eb45ec9def08e51bc60d22,1,0,0,100,byplayer,0,0,37,0,0,1,1,0,0,18.0396023,0,ttv-bobby07,0,0,0,0,0,0,199,0,216.241226,2,36,0,0
account.df9009d8977a459cb4529390bde98321,0,0,0,189.836624,byplayer,0,0,15,0,0,1,2,0,0,202.270523,0,Sexy_Granny,0,0,486.094543,0,119.65963,0,1009.254,0,2052.96338,4,17,0,0
account.8e83105763154c7c8f2c6bde38fe8649,2,0,2,285.6894,byplayer,1,4,8,0,0,1,3,0,0,192.468445,0,FWATLAS,0,0,84.8298645,0,0,0,828.623,0,1562.61609,4,17,0,0
account.71ac7faf921d4e8bb60bc9d267ead369,1,0,2,226.470322,byplayer,0,5,35,0,0,1,1,0,0,6.21736526,0,R3pentance,0,1,0,0,0,0,663.419,0,269.320557,5,27,0,0
account.a43ed9d7775f4d91801742b06b8fe6a0,1,0,2,94.485,byplayer,0,1,63,0,0,0,0,0,0,0,0,TowelNapkin,0,1,0,0,0,0,663.413,0,345.485626,3,27,0,0
account.513196a6adb7494ca6beb0d342eeaa8b,0,0,0,0,byplayer,0,5,84,0,0,0,0,0,0,0,0,inmyjammies,0,0,0,0,0,0,226.862,0,113.971191,6,42,0,0
account.7dbf1a5a636b488fbd02ef3fbb008642,0,0,0,0,byplayer,0,0,85,0,0,0,0,0,0,0,0,G_Scoops,0,0,0,0,0,0,226.856,0,96.80658,2,42,0,0
account.64e2a02b613d447d8e91132df6925be9,0,0,0,94.0977249,byplayer,0,0,76,0,0,0,0,0,0,0,0,xxxtreashcan,0,0,0,0,0,0,300.036,0,290.1918,3,37,0,0
account.f9b7643bd04d433eb445a677b8037e7a,0,0,0,55.6499977,byplayer,0,0,77,0,0,0,0,0,0,0,0,Wunnderwaf,0,0,0,0,0,0,294.822,0,310.792236,3,37,0,0
account.95122b9abc86472f80c1fe9292555d47,1,0,2,341.3413,byplayer,0,4,11,0,0,1,2,0,0,46.6750031,0,Thorjake,0,0,0.007605578,0,31.5154171,0,1831.42,0,5714.19727,5,2,0,0
